source,model_name,method,reasoning_type,context_length,evidence_position,evidence_density,distractor_similarity,n,exact_match_strict,answer_f1_strict,exact_match_relaxed,answer_f1_relaxed,exact_match,answer_f1,evidence_precision,evidence_recall,evidence_f1,citation_grounding
hotpotqa,gemma3:12b,direct,comparison,16000,front,low,unknown,2,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.3333333333333333,0.5,0.25,0.3333333333333333,0.5
hotpotqa,gemma3:12b,direct,comparison,16000,middle,low,unknown,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.6666666666666666,1.0
hotpotqa,gemma3:12b,direct,comparison,16000,middle,medium,unknown,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25,0.4,1.0
hotpotqa,gemma3:12b,direct,comparison,16000,scattered,medium,unknown,1,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.3333333333333333,0.4,1.0
hotpotqa,gemma3:12b,direct,comparison,4000,end,low,unknown,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.6666666666666666,1.0
hotpotqa,gemma3:12b,direct,comparison,4000,end,medium,unknown,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.5,1.0
hotpotqa,gemma3:12b,direct,comparison,4000,front,low,unknown,3,0.0,0.26666666666666666,0.0,0.26666666666666666,0.0,0.26666666666666666,1.0,0.5,0.6666666666666666,1.0
hotpotqa,gemma3:12b,direct,comparison,4000,middle,low,unknown,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8333333333333334,0.8888888888888888,1.0
hotpotqa,gemma3:12b,direct,comparison,4000,middle,medium,unknown,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,0.8,1.0
hotpotqa,gemma3:12b,direct,comparison,4000,scattered,low,unknown,2,0.0,0.2777777777777778,0.0,0.2777777777777778,0.0,0.2777777777777778,1.0,0.5,0.6666666666666666,1.0
hotpotqa,gemma3:12b,direct,comparison,8000,end,low,unknown,3,0.3333333333333333,0.7094017094017093,0.3333333333333333,0.7371794871794871,0.3333333333333333,0.7094017094017093,1.0,0.8333333333333334,0.8888888888888888,1.0
hotpotqa,gemma3:12b,direct,comparison,8000,middle,low,unknown,2,0.5,0.5,0.5,0.5,0.5,0.5,0.75,0.5,0.5833333333333333,1.0
hotpotqa,gemma3:12b,direct,comparison,8000,scattered,low,unknown,2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.75,0.8333333333333333,1.0
hotpotqa,gemma3:12b,direct,comparison,8000,scattered,medium,unknown,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.5,1.0
hotpotqa,gemma3:12b,direct,multi_hop,16000,end,low,unknown,9,0.6666666666666666,0.8613756613756614,0.5555555555555556,0.7595238095238095,0.6666666666666666,0.8613756613756614,1.0,0.6666666666666666,0.7777777777777778,1.0
hotpotqa,gemma3:12b,direct,multi_hop,16000,end,medium,unknown,8,0.375,0.6850198412698413,0.375,0.6850198412698413,0.375,0.6850198412698413,0.875,0.44791666666666663,0.5625,0.875
hotpotqa,gemma3:12b,direct,multi_hop,16000,front,low,unknown,9,0.6666666666666666,0.7851851851851852,0.6666666666666666,0.8296296296296296,0.6666666666666666,0.7851851851851852,0.7777777777777778,0.4444444444444444,0.5555555555555556,0.7777777777777778
