model_name,context_length,evidence_position,position_fraction,long_method,condition_display,n,score_no_evidence,score_oracle,score_long,context_gain,oracle_gap,oncu_raw,oncu_clipped,oncu_valid,diagnostic_reading
gemma3:12b,4000,pos_00,0.05,direct,Full context,80,0.0,1.0,0.825,0.825,0.175,0.825,0.825,True,Condition improves substantially over no-evidence baseline.
gemma3:12b,4000,pos_00,0.05,retrieve_then_read,Retrieved evidence,80,0.0,1.0,0.80625,0.80625,0.19375,0.80625,0.80625,True,Condition improves substantially over no-evidence baseline.
gemma3:12b,4000,pos_01,0.15,direct,Full context,80,0.0,0.975,0.8,0.8,0.175,0.820513,0.820513,True,Condition improves substantially over no-evidence baseline.
gemma3:12b,4000,pos_01,0.15,retrieve_then_read,Retrieved evidence,80,0.0,0.975,0.9,0.9,0.075,0.923077,0.923077,True,Compact evidence recovers most oracle advantage.
gemma3:12b,4000,pos_02,0.25,direct,Full context,80,0.0,0.9875,0.76875,0.76875,0.21875,0.778481,0.778481,True,Large oracle gap remains after the condition.
gemma3:12b,4000,pos_02,0.25,retrieve_then_read,Retrieved evidence,80,0.0,0.9875,0.81875,0.81875,0.16875,0.829114,0.829114,True,Condition improves substantially over no-evidence baseline.
gemma3:12b,4000,pos_03,0.35,direct,Full context,80,0.0,0.975,0.7625,0.7625,0.2125,0.782051,0.782051,True,Large oracle gap remains after the condition.
gemma3:12b,4000,pos_03,0.35,retrieve_then_read,Retrieved evidence,80,0.0,0.975,0.7875,0.7875,0.1875,0.807692,0.807692,True,Condition improves substantially over no-evidence baseline.
gemma3:12b,4000,pos_04,0.45,direct,Full context,80,0.0,0.975,0.775,0.775,0.2,0.794872,0.794872,True,Condition improves substantially over no-evidence baseline.
gemma3:12b,4000,pos_04,0.45,retrieve_then_read,Retrieved evidence,80,0.0,0.975,0.84375,0.84375,0.13125,0.865385,0.865385,True,Condition improves substantially over no-evidence baseline.
gemma3:12b,4000,pos_05,0.55,direct,Full context,80,0.0,0.975,0.74375,0.74375,0.23125,0.762821,0.762821,True,Large oracle gap remains after the condition.
gemma3:12b,4000,pos_05,0.55,retrieve_then_read,Retrieved evidence,80,0.0,0.975,0.9,0.9,0.075,0.923077,0.923077,True,Compact evidence recovers most oracle advantage.
gemma3:12b,4000,pos_06,0.65,direct,Full context,80,0.0,1.0,0.8,0.8,0.2,0.8,0.8,True,Condition improves substantially over no-evidence baseline.
gemma3:12b,4000,pos_06,0.65,retrieve_then_read,Retrieved evidence,80,0.0,1.0,0.8625,0.8625,0.1375,0.8625,0.8625,True,Condition improves substantially over no-evidence baseline.
