source,model_name,reasoning_type,context_length,evidence_position,evidence_density,distractor_similarity,long_method,score_field,score_no_evidence,score_oracle,score_long,n,cue_valid,cue_invalid_reason,cue_raw,cue_clipped,oncu_valid,oncu_invalid_reason,oncu_raw,oncu_clipped
controlled,qwen3:14b,arithmetic,4000,end,medium,conflicting,direct,exact_match_strict,0.0,1.0,1.0,4,True,,1.0,1.0,True,,1.0,1.0
controlled,qwen3:14b,arithmetic,4000,end,medium,conflicting,retrieve_then_read,exact_match_strict,0.0,1.0,1.0,4,True,,1.0,1.0,True,,1.0,1.0
controlled,qwen3:14b,arithmetic,4000,end,medium,conflicting,direct,answer_f1_strict,0.0,1.0,1.0,4,True,,1.0,1.0,True,,1.0,1.0
controlled,qwen3:14b,arithmetic,4000,end,medium,conflicting,retrieve_then_read,answer_f1_strict,0.0,1.0,1.0,4,True,,1.0,1.0,True,,1.0,1.0
controlled,qwen3:14b,arithmetic,4000,end,medium,conflicting,direct,exact_match_relaxed,0.0,1.0,1.0,4,True,,1.0,1.0,True,,1.0,1.0
controlled,qwen3:14b,arithmetic,4000,end,medium,conflicting,retrieve_then_read,exact_match_relaxed,0.0,1.0,1.0,4,True,,1.0,1.0,True,,1.0,1.0
controlled,qwen3:14b,arithmetic,4000,end,medium,conflicting,direct,answer_f1_relaxed,0.0,1.0,1.0,4,True,,1.0,1.0,True,,1.0,1.0
controlled,qwen3:14b,arithmetic,4000,end,medium,conflicting,retrieve_then_read,answer_f1_relaxed,0.0,1.0,1.0,4,True,,1.0,1.0,True,,1.0,1.0
controlled,qwen3:14b,arithmetic,4000,end,medium,conflicting,direct,exact_match,0.0,1.0,1.0,4,True,,1.0,1.0,True,,1.0,1.0
controlled,qwen3:14b,arithmetic,4000,end,medium,conflicting,retrieve_then_read,exact_match,0.0,1.0,1.0,4,True,,1.0,1.0,True,,1.0,1.0
controlled,qwen3:14b,arithmetic,4000,end,medium,conflicting,direct,answer_f1,0.0,1.0,1.0,4,True,,1.0,1.0,True,,1.0,1.0
controlled,qwen3:14b,arithmetic,4000,end,medium,conflicting,retrieve_then_read,answer_f1,0.0,1.0,1.0,4,True,,1.0,1.0,True,,1.0,1.0
controlled,qwen3:14b,arithmetic,4000,end,medium,high,direct,exact_match_strict,0.0,1.0,1.0,8,True,,1.0,1.0,True,,1.0,1.0
controlled,qwen3:14b,arithmetic,4000,end,medium,high,retrieve_then_read,exact_match_strict,0.0,1.0,1.0,8,True,,1.0,1.0,True,,1.0,1.0
controlled,qwen3:14b,arithmetic,4000,end,medium,high,direct,answer_f1_strict,0.0,1.0,1.0,8,True,,1.0,1.0,True,,1.0,1.0
controlled,qwen3:14b,arithmetic,4000,end,medium,high,retrieve_then_read,answer_f1_strict,0.0,1.0,1.0,8,True,,1.0,1.0,True,,1.0,1.0
