case,metric_family,component,dataset,model_or_retriever,condition_or_setting,answer_f1_or_recall,evidence_f1_or_chain_coverage,context_gain,oracle_gap,oncu,diagnostic_reading
Controlled full context: raw F1 hides oracle-normalized under-recovery,reader_condition,core200,Controlled-safe16K-200,Qwen3-14B,Full context,0.525833,0.705667,0.518333,0.469167,0.535088,Full-context condition under-recovers oracle advantage.
Controlled retrieved evidence: compact evidence recovers oracle advantage,reader_condition,core200,Controlled-safe16K-200,Qwen3-14B,Retrieved evidence,0.9925,0.9715,0.985,0.0025,0.994361,Compact evidence recovers most oracle advantage.
HotpotQA full context: raw and ONCU agree that full context helps,reader_condition,core200,HotpotQA-ONCU-200,Qwen2.5-14B,Full context,0.732568,0.688107,0.491445,0.034625,0.905575,Full context preserves multi-hop evidence better than retrieval.
HotpotQA retrieved evidence: retrieval coverage lowers ONCU,reader_condition,core200,HotpotQA-ONCU-200,Qwen2.5-14B,Retrieved evidence,0.589683,0.477655,0.34856,0.177511,0.638712,Condition improves substantially over no-evidence baseline.
2Wiki full context: non-trivial raw F1 but moderate ONCU,reader_condition,twowiki500,2WikiMultiHopQA-ONCU-500,Qwen3-14B,Full context,0.560226,0.662981,0.286716,0.174476,0.53378,Realistic multi-hop utilization remains incomplete.
2Wiki retrieved evidence: low ONCU despite compact input,reader_condition,twowiki500,2WikiMultiHopQA-ONCU-500,Qwen3-14B,Retrieved evidence,0.399886,0.352305,0.126376,0.334816,0.367068,Retrieved evidence loses recoverable advantage.
Controlled 32K early evidence: raw context gain and ONCU collapse,controlled_scaling_cell,controlled_scaling,32K/pos_00,Qwen3-14B,Full context,0.0,,0.0,0.995833,0.0,Full-context condition under-recovers oracle advantage.
Controlled 32K final-decile evidence: ONCU recovers at the end,controlled_scaling_cell,controlled_scaling,32K/pos_09,Qwen3-14B,Full context,0.9875,,0.9875,0.0,1.0,Condition improves substantially over no-evidence baseline.
Retrieval-only HotpotQA lexical@3: recall before reading,retrieval_only,hotpotqa,hotpotqa_oncu_200,lexical,top-k=3,0.632833,0.54,,,,Retrieval may bottleneck multi-hop coverage.
Retrieval-only 2Wiki dense@16: coverage increases with budget,retrieval_only,twowiki,twowiki_oncu_500,dense,top-k=16,0.8415,0.756,,,,Retrieval may bottleneck multi-hop coverage.
