source,model_name,method,reasoning_type,context_length,evidence_position,evidence_density,score_field,distractor_similarity,score_none,score_distractor,robustness_drop,n_none,n_distractor
controlled,qwen3:14b,direct,arithmetic,16000,front,medium,exact_match,high,0.0,0.0,0.0,3,3
controlled,qwen3:14b,direct,arithmetic,16000,front,medium,exact_match,conflicting,0.0,0.0,0.0,3,1
controlled,qwen3:14b,direct,arithmetic,16000,middle,medium,exact_match,high,0.0,0.0,0.0,4,1
controlled,qwen3:14b,direct,arithmetic,16000,middle,medium,exact_match,conflicting,0.0,0.0,0.0,4,1
controlled,qwen3:14b,direct,arithmetic,16000,scattered,medium,exact_match,high,0.0,0.0,0.0,1,1
controlled,qwen3:14b,direct,arithmetic,16000,scattered,medium,exact_match,conflicting,0.0,0.0,0.0,1,1
controlled,qwen3:14b,direct,arithmetic,4000,end,medium,exact_match,high,1.0,1.0,0.0,1,2
controlled,qwen3:14b,direct,arithmetic,4000,end,medium,exact_match,conflicting,1.0,1.0,0.0,1,1
controlled,qwen3:14b,direct,arithmetic,4000,middle,medium,exact_match,conflicting,1.0,1.0,0.0,2,2
controlled,qwen3:14b,direct,arithmetic,4000,scattered,medium,exact_match,high,1.0,1.0,0.0,1,1
controlled,qwen3:14b,direct,comparison,16000,end,medium,exact_match,high,0.0,0.0,0.0,1,1
controlled,qwen3:14b,direct,comparison,16000,end,medium,exact_match,conflicting,0.0,0.0,0.0,1,1
controlled,qwen3:14b,direct,comparison,16000,front,medium,exact_match,high,0.0,0.0,0.0,2,1
controlled,qwen3:14b,direct,comparison,16000,front,medium,exact_match,conflicting,0.0,0.0,0.0,2,1
controlled,qwen3:14b,direct,comparison,16000,middle,medium,exact_match,high,0.0,0.0,0.0,1,1
controlled,qwen3:14b,direct,comparison,16000,middle,medium,exact_match,conflicting,0.0,0.0,0.0,1,3
controlled,qwen3:14b,direct,comparison,16000,scattered,medium,exact_match,high,0.0,0.0,0.0,2,2
controlled,qwen3:14b,direct,comparison,16000,scattered,medium,exact_match,conflicting,0.0,0.0,0.0,2,3
controlled,qwen3:14b,direct,comparison,4000,front,medium,exact_match,conflicting,0.0,0.0,0.0,1,2
controlled,qwen3:14b,direct,comparison,8000,front,medium,exact_match,high,0.0,0.0,0.0,1,2
controlled,qwen3:14b,direct,comparison,8000,front,medium,exact_match,conflicting,0.0,0.0,0.0,1,2
controlled,qwen3:14b,direct,comparison,8000,middle,medium,exact_match,conflicting,0.0,0.0,0.0,1,2
controlled,qwen3:14b,direct,comparison,8000,scattered,medium,exact_match,high,0.0,0.0,0.0,2,1
controlled,qwen3:14b,direct,comparison,8000,scattered,medium,exact_match,conflicting,0.0,0.0,0.0,2,1
controlled,qwen3:14b,direct,multi_hop,16000,scattered,medium,exact_match,conflicting,0.0,0.0,0.0,1,1
controlled,qwen3:14b,direct,multi_hop,4000,end,medium,exact_match,conflicting,1.0,1.0,0.0,2,2
controlled,qwen3:14b,direct,multi_hop,4000,front,medium,exact_match,high,1.0,1.0,0.0,1,2
controlled,qwen3:14b,direct,multi_hop,4000,front,medium,exact_match,conflicting,1.0,1.0,0.0,1,2
controlled,qwen3:14b,direct,multi_hop,4000,middle,medium,exact_match,high,1.0,1.0,0.0,1,1
controlled,qwen3:14b,direct,multi_hop,4000,middle,medium,exact_match,conflicting,1.0,1.0,0.0,1,1
controlled,qwen3:14b,direct,multi_hop,8000,middle,medium,exact_match,high,0.0,0.0,0.0,2,1
controlled,qwen3:14b,direct,multi_hop,8000,middle,medium,exact_match,conflicting,0.0,0.0,0.0,2,1
controlled,qwen3:14b,direct,single_hop,16000,front,low,exact_match,conflicting,0.0,0.0,0.0,3,2
controlled,qwen3:14b,direct,single_hop,16000,middle,low,exact_match,high,0.0,0.0,0.0,1,2
controlled,qwen3:14b,direct,single_hop,16000,middle,low,exact_match,conflicting,0.0,0.0,0.0,1,1
controlled,qwen3:14b,direct,single_hop,16000,scattered,low,exact_match,high,0.0,0.0,0.0,1,1
controlled,qwen3:14b,direct,single_hop,16000,scattered,low,exact_match,conflicting,0.0,0.0,0.0,1,2
controlled,qwen3:14b,direct,single_hop,4000,end,low,exact_match,high,1.0,1.0,0.0,2,1
controlled,qwen3:14b,direct,single_hop,4000,end,low,exact_match,conflicting,1.0,0.6666666666666666,0.33333333333333337,2,3
controlled,qwen3:14b,direct,single_hop,4000,front,low,exact_match,high,1.0,0.0,1.0,1,1
controlled,qwen3:14b,direct,single_hop,4000,middle,low,exact_match,conflicting,1.0,0.5,0.5,2,2
controlled,qwen3:14b,direct,single_hop,8000,front,low,exact_match,high,0.0,0.0,0.0,2,1
controlled,qwen3:14b,no_evidence,arithmetic,16000,front,medium,exact_match,high,0.0,0.0,0.0,3,3
controlled,qwen3:14b,no_evidence,arithmetic,16000,front,medium,exact_match,conflicting,0.0,0.0,0.0,3,1
controlled,qwen3:14b,no_evidence,arithmetic,16000,middle,medium,exact_match,high,0.0,0.0,0.0,4,1
controlled,qwen3:14b,no_evidence,arithmetic,16000,middle,medium,exact_match,conflicting,0.0,0.0,0.0,4,1
controlled,qwen3:14b,no_evidence,arithmetic,16000,scattered,medium,exact_match,high,0.0,0.0,0.0,1,1
controlled,qwen3:14b,no_evidence,arithmetic,16000,scattered,medium,exact_match,conflicting,0.0,0.0,0.0,1,1
controlled,qwen3:14b,no_evidence,arithmetic,4000,end,medium,exact_match,high,0.0,0.0,0.0,1,2
controlled,qwen3:14b,no_evidence,arithmetic,4000,end,medium,exact_match,conflicting,0.0,0.0,0.0,1,1
controlled,qwen3:14b,no_evidence,arithmetic,4000,middle,medium,exact_match,conflicting,0.0,0.0,0.0,2,2
controlled,qwen3:14b,no_evidence,arithmetic,4000,scattered,medium,exact_match,high,0.0,0.0,0.0,1,1
controlled,qwen3:14b,no_evidence,comparison,16000,end,medium,exact_match,high,0.0,0.0,0.0,1,1
controlled,qwen3:14b,no_evidence,comparison,16000,end,medium,exact_match,conflicting,0.0,0.0,0.0,1,1
controlled,qwen3:14b,no_evidence,comparison,16000,front,medium,exact_match,high,0.0,0.0,0.0,2,1
controlled,qwen3:14b,no_evidence,comparison,16000,front,medium,exact_match,conflicting,0.0,0.0,0.0,2,1
controlled,qwen3:14b,no_evidence,comparison,16000,middle,medium,exact_match,high,0.0,0.0,0.0,1,1
controlled,qwen3:14b,no_evidence,comparison,16000,middle,medium,exact_match,conflicting,0.0,0.0,0.0,1,3
controlled,qwen3:14b,no_evidence,comparison,16000,scattered,medium,exact_match,high,0.0,0.0,0.0,2,2
controlled,qwen3:14b,no_evidence,comparison,16000,scattered,medium,exact_match,conflicting,0.0,0.0,0.0,2,3
controlled,qwen3:14b,no_evidence,comparison,4000,front,medium,exact_match,conflicting,0.0,0.0,0.0,1,2
controlled,qwen3:14b,no_evidence,comparison,8000,front,medium,exact_match,high,0.0,0.0,0.0,1,2
controlled,qwen3:14b,no_evidence,comparison,8000,front,medium,exact_match,conflicting,0.0,0.0,0.0,1,2
controlled,qwen3:14b,no_evidence,comparison,8000,middle,medium,exact_match,conflicting,0.0,0.0,0.0,1,2
controlled,qwen3:14b,no_evidence,comparison,8000,scattered,medium,exact_match,high,0.0,0.0,0.0,2,1
controlled,qwen3:14b,no_evidence,comparison,8000,scattered,medium,exact_match,conflicting,0.0,0.0,0.0,2,1
controlled,qwen3:14b,no_evidence,multi_hop,16000,scattered,medium,exact_match,conflicting,0.0,0.0,0.0,1,1
controlled,qwen3:14b,no_evidence,multi_hop,4000,end,medium,exact_match,conflicting,0.0,0.0,0.0,2,2
controlled,qwen3:14b,no_evidence,multi_hop,4000,front,medium,exact_match,high,0.0,0.0,0.0,1,2
controlled,qwen3:14b,no_evidence,multi_hop,4000,front,medium,exact_match,conflicting,0.0,0.0,0.0,1,2
