sample_id,model_name,method,method_display_name,method_family,method_role,core_diagnostic,source,reasoning_type,answer_type,context_length,evidence_position,evidence_density,distractor_similarity,gold_answer,predicted_answer,gold_evidence_ids,predicted_evidence_ids,cue_applicable,exact_match_strict,answer_f1_strict,exact_match_relaxed,answer_f1_relaxed,exact_match,answer_f1,evidence_precision,evidence_recall,evidence_f1,citation_grounding,failure_type,parse_error
controlled_000655,mistral-small3.1:24b,no_evidence,No Evidence,diagnostic_baseline,question_only_lower_bound,True,controlled,comparison,entity,16000,front,medium,none,Model Alpha 00654,unknown,p0001;p0002,,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,evidence_localization_failure,
controlled_000655,mistral-small3.1:24b,direct,Full Context,diagnostic_condition,full_context_condition,True,controlled,comparison,entity,16000,front,medium,none,Model Alpha 00654,Model A,p0001;p0002,p0001,True,0.0,0.5,0.0,0.6666666666666666,0.0,0.5,1.0,0.5,0.6666666666666666,1.0,evidence_integration_failure,
controlled_000655,mistral-small3.1:24b,retrieve_then_read,Retrieved Evidence,diagnostic_condition,evidence_narrowed_condition,True,controlled,comparison,entity,16000,front,medium,none,Model Alpha 00654,Model Alpha 00654,p0001;p0002,p0001;p0002,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,success,
controlled_000655,mistral-small3.1:24b,oracle,Oracle Evidence,diagnostic_baseline,oracle_evidence_upper_reference,True,controlled,comparison,entity,16000,front,medium,none,Model Alpha 00654,Model Alpha 00654,p0001;p0002,p0001;p0002,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,success,
controlled_000115,mistral-small3.1:24b,no_evidence,No Evidence,diagnostic_baseline,question_only_lower_bound,True,controlled,comparison,entity,4000,middle,medium,low,Model Alpha 00114,unknown,p0001;p0002,,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,evidence_localization_failure,
controlled_000115,mistral-small3.1:24b,direct,Full Context,diagnostic_condition,full_context_condition,True,controlled,comparison,entity,4000,middle,medium,low,Model Alpha 00114,Model Alpha,p0001;p0002,p0001;p0002,True,0.0,0.8,1.0,1.0,0.0,0.8,1.0,1.0,1.0,1.0,answer_conversion_failure,
controlled_000115,mistral-small3.1:24b,retrieve_then_read,Retrieved Evidence,diagnostic_condition,evidence_narrowed_condition,True,controlled,comparison,entity,4000,middle,medium,low,Model Alpha 00114,Model Alpha,p0001;p0002,p0001;p0002,True,0.0,0.8,1.0,1.0,0.0,0.8,1.0,1.0,1.0,1.0,answer_conversion_failure,
controlled_000115,mistral-small3.1:24b,oracle,Oracle Evidence,diagnostic_baseline,oracle_evidence_upper_reference,True,controlled,comparison,entity,4000,middle,medium,low,Model Alpha 00114,Model Alpha 00114,p0001;p0002,p0001;p0002,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,success,
controlled_000026,mistral-small3.1:24b,no_evidence,No Evidence,diagnostic_baseline,question_only_lower_bound,True,controlled,multi_hop,entity,4000,front,medium,low,Zurich-00025,unknown,p0001;p0002,,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,evidence_localization_failure,
controlled_000026,mistral-small3.1:24b,direct,Full Context,diagnostic_condition,full_context_condition,True,controlled,multi_hop,entity,4000,front,medium,low,Zurich-00025,Zurich-00025,p0001;p0002,p0001;p0002,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,success,
