source,model_name,method,reasoning_type,context_length,evidence_position,evidence_density,distractor_similarity,n,exact_match_strict,answer_f1_strict,exact_match_relaxed,answer_f1_relaxed,exact_match,answer_f1,evidence_precision,evidence_recall,evidence_f1,citation_grounding
hotpotqa,llama3.1:8b,direct,comparison,16000,front,low,unknown,2,0.0,0.6666666666666666,0.0,0.6666666666666666,0.0,0.6666666666666666,0.5,0.25,0.3333333333333333,0.5
hotpotqa,llama3.1:8b,direct,comparison,16000,middle,low,unknown,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.6666666666666666,1.0
hotpotqa,llama3.1:8b,direct,comparison,16000,middle,medium,unknown,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25,0.4,1.0
hotpotqa,llama3.1:8b,direct,comparison,16000,scattered,medium,unknown,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hotpotqa,llama3.1:8b,direct,comparison,4000,end,low,unknown,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.6666666666666666,1.0
hotpotqa,llama3.1:8b,direct,comparison,4000,end,medium,unknown,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.5,1.0
hotpotqa,llama3.1:8b,direct,comparison,4000,front,low,unknown,3,0.0,0.26666666666666666,0.0,0.26666666666666666,0.0,0.26666666666666666,1.0,0.6666666666666666,0.7777777777777778,1.0
hotpotqa,llama3.1:8b,direct,comparison,4000,middle,low,unknown,3,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.4444444444444444,0.6666666666666666
hotpotqa,llama3.1:8b,direct,comparison,4000,middle,medium,unknown,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.5,1.0
hotpotqa,llama3.1:8b,direct,comparison,4000,scattered,low,unknown,2,0.0,0.2777777777777778,0.0,0.2777777777777778,0.0,0.2777777777777778,0.5,0.25,0.3333333333333333,0.5
hotpotqa,llama3.1:8b,direct,comparison,8000,end,low,unknown,3,0.3333333333333333,0.42857142857142855,0.3333333333333333,0.42857142857142855,0.3333333333333333,0.42857142857142855,1.0,0.5,0.6666666666666666,1.0
hotpotqa,llama3.1:8b,direct,comparison,8000,middle,low,unknown,2,0.5,0.5,0.5,0.5,0.5,0.5,1.0,0.5,0.6666666666666666,1.0
hotpotqa,llama3.1:8b,direct,comparison,8000,scattered,low,unknown,2,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.25,0.3333333333333333,0.5
hotpotqa,llama3.1:8b,direct,comparison,8000,scattered,medium,unknown,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.3333333333333333,0.5,1.0
hotpotqa,llama3.1:8b,direct,multi_hop,16000,end,low,unknown,9,0.6666666666666666,0.9037037037037037,0.5555555555555556,0.8018518518518518,0.6666666666666666,0.9037037037037037,1.0,0.5555555555555556,0.7037037037037037,1.0
hotpotqa,llama3.1:8b,direct,multi_hop,16000,end,medium,unknown,8,0.5,0.7448489010989011,0.5,0.7448489010989011,0.5,0.7448489010989011,1.0,0.34375,0.5083333333333333,1.0
hotpotqa,llama3.1:8b,direct,multi_hop,16000,front,low,unknown,9,0.3333333333333333,0.5944444444444444,0.3333333333333333,0.65,0.3333333333333333,0.5944444444444444,0.4444444444444444,0.2222222222222222,0.2962962962962963,0.4444444444444444
hotpotqa,llama3.1:8b,direct,multi_hop,16000,front,medium,unknown,5,0.2,0.5047619047619047,0.2,0.5047619047619047,0.2,0.5047619047619047,0.8,0.3333333333333333,0.45333333333333337,0.8
hotpotqa,llama3.1:8b,direct,multi_hop,16000,middle,low,unknown,6,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,1.0,0.5,0.6666666666666666,1.0
hotpotqa,llama3.1:8b,direct,multi_hop,16000,middle,medium,unknown,9,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6944444444444444,0.6666666666666666,0.6666666666666666,0.8888888888888888,0.337037037037037,0.4777777777777778,0.8888888888888888
hotpotqa,llama3.1:8b,direct,multi_hop,16000,scattered,low,unknown,12,0.3333333333333333,0.5158730158730158,0.3333333333333333,0.5158730158730158,0.3333333333333333,0.5158730158730158,0.5833333333333334,0.2916666666666667,0.38888888888888884,0.5833333333333334
hotpotqa,llama3.1:8b,direct,multi_hop,16000,scattered,medium,unknown,3,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.16666666666666666,0.26666666666666666,0.6666666666666666
hotpotqa,llama3.1:8b,direct,multi_hop,4000,end,low,unknown,10,0.5,0.6,0.5,0.6,0.5,0.6,0.9,0.5,0.6333333333333333,0.9
hotpotqa,llama3.1:8b,direct,multi_hop,4000,end,medium,unknown,4,0.75,0.8928571428571429,0.75,0.8928571428571429,0.75,0.8928571428571429,1.0,0.5,0.65,1.0
hotpotqa,llama3.1:8b,direct,multi_hop,4000,front,low,unknown,7,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7857142857142857,0.5,0.5952380952380952,0.8571428571428571
hotpotqa,llama3.1:8b,direct,multi_hop,4000,front,medium,unknown,7,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.7857142857142857,0.2714285714285714,0.3904761904761905,0.8571428571428571
hotpotqa,llama3.1:8b,direct,multi_hop,4000,middle,low,unknown,8,0.75,0.75,0.75,0.75,0.75,0.75,1.0,0.625,0.75,1.0
hotpotqa,llama3.1:8b,direct,multi_hop,4000,middle,medium,unknown,4,0.5,0.6483516483516484,0.5,0.688034188034188,0.5,0.6483516483516484,0.875,0.29166666666666663,0.42500000000000004,1.0
hotpotqa,llama3.1:8b,direct,multi_hop,4000,scattered,low,unknown,10,0.6,0.6833333333333333,0.6,0.6833333333333333,0.6,0.6833333333333333,0.9,0.45,0.6,0.9
hotpotqa,llama3.1:8b,direct,multi_hop,4000,scattered,medium,unknown,5,0.4,0.6133333333333333,0.4,0.6133333333333333,0.4,0.6133333333333333,0.8,0.23333333333333334,0.36,0.8
hotpotqa,llama3.1:8b,direct,multi_hop,8000,end,low,unknown,12,0.5833333333333334,0.7611111111111111,0.5833333333333334,0.7611111111111111,0.5833333333333334,0.7611111111111111,0.9166666666666666,0.4583333333333333,0.611111111111111,0.9166666666666666
hotpotqa,llama3.1:8b,direct,multi_hop,8000,end,medium,unknown,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.5,1.0
hotpotqa,llama3.1:8b,direct,multi_hop,8000,front,low,unknown,7,0.42857142857142855,0.5904761904761905,0.42857142857142855,0.5904761904761905,0.42857142857142855,0.5904761904761905,0.5714285714285714,0.2857142857142857,0.38095238095238093,0.5714285714285714
