source,model_name,reasoning_type,context_length,evidence_position,evidence_density,distractor_similarity,long_method,score_field,score_no_evidence,score_oracle,score_long,n,cue_valid,cue_invalid_reason,cue_raw,cue_clipped
hotpotqa,llama3.1:8b,comparison,4000,front,low,unknown,direct,exact_match,0.3333333333333333,0.3333333333333333,0.0,3,False,oracle_not_above_no_evidence,,
hotpotqa,llama3.1:8b,comparison,4000,front,low,unknown,retrieve_then_read,exact_match,0.3333333333333333,0.3333333333333333,0.3333333333333333,3,False,oracle_not_above_no_evidence,,
hotpotqa,llama3.1:8b,comparison,8000,middle,low,unknown,direct,exact_match,0.5,0.5,0.5,2,False,oracle_not_above_no_evidence,,
hotpotqa,llama3.1:8b,comparison,8000,middle,low,unknown,retrieve_then_read,exact_match,0.5,0.5,0.5,2,False,oracle_not_above_no_evidence,,
hotpotqa,llama3.1:8b,multi_hop,16000,end,medium,unknown,direct,exact_match,0.125,0.5,0.5,8,True,,1.0,1.0
hotpotqa,llama3.1:8b,multi_hop,16000,end,medium,unknown,retrieve_then_read,exact_match,0.125,0.5,0.375,8,True,,0.6666666666666666,0.6666666666666666
hotpotqa,llama3.1:8b,multi_hop,4000,scattered,medium,unknown,direct,exact_match,0.4,0.6,0.4,5,True,,0.0,0.0
hotpotqa,llama3.1:8b,multi_hop,4000,scattered,medium,unknown,retrieve_then_read,exact_match,0.4,0.6,0.2,5,True,,-1.0000000000000002,0.0
hotpotqa,llama3.1:8b,multi_hop,8000,front,medium,unknown,direct,exact_match,0.2,0.3,0.5,10,True,,3.0000000000000004,1.0
hotpotqa,llama3.1:8b,multi_hop,8000,front,medium,unknown,retrieve_then_read,exact_match,0.2,0.3,0.3,10,True,,1.0,1.0
hotpotqa,llama3.1:8b,multi_hop,16000,middle,medium,unknown,direct,exact_match,0.3333333333333333,1.0,0.6666666666666666,9,True,,0.49999999999999994,0.49999999999999994
hotpotqa,llama3.1:8b,multi_hop,16000,middle,medium,unknown,retrieve_then_read,exact_match,0.3333333333333333,1.0,0.6666666666666666,9,True,,0.49999999999999994,0.49999999999999994
hotpotqa,llama3.1:8b,multi_hop,4000,end,low,unknown,direct,exact_match,0.2,0.4,0.5,10,True,,1.4999999999999998,1.0
hotpotqa,llama3.1:8b,multi_hop,4000,end,low,unknown,retrieve_then_read,exact_match,0.2,0.4,0.4,10,True,,1.0,1.0
hotpotqa,llama3.1:8b,comparison,8000,scattered,low,unknown,direct,exact_match,0.0,1.0,1.0,2,True,,1.0,1.0
hotpotqa,llama3.1:8b,comparison,8000,scattered,low,unknown,retrieve_then_read,exact_match,0.0,1.0,0.5,2,True,,0.5,0.5
hotpotqa,llama3.1:8b,multi_hop,16000,front,low,unknown,direct,exact_match,0.0,0.7777777777777778,0.3333333333333333,9,True,,0.42857142857142855,0.42857142857142855
hotpotqa,llama3.1:8b,multi_hop,16000,front,low,unknown,retrieve_then_read,exact_match,0.0,0.7777777777777778,0.3333333333333333,9,True,,0.42857142857142855,0.42857142857142855
hotpotqa,llama3.1:8b,comparison,4000,middle,low,unknown,direct,exact_match,0.3333333333333333,1.0,0.6666666666666666,3,True,,0.49999999999999994,0.49999999999999994
hotpotqa,llama3.1:8b,comparison,4000,middle,low,unknown,retrieve_then_read,exact_match,0.3333333333333333,1.0,0.6666666666666666,3,True,,0.49999999999999994,0.49999999999999994
hotpotqa,llama3.1:8b,multi_hop,8000,end,low,unknown,direct,exact_match,0.25,0.75,0.5833333333333334,12,True,,0.6666666666666667,0.6666666666666667
hotpotqa,llama3.1:8b,multi_hop,8000,end,low,unknown,retrieve_then_read,exact_match,0.25,0.75,0.5833333333333334,12,True,,0.6666666666666667,0.6666666666666667
hotpotqa,llama3.1:8b,multi_hop,16000,scattered,medium,unknown,direct,exact_match,0.0,0.6666666666666666,0.3333333333333333,3,True,,0.5,0.5
hotpotqa,llama3.1:8b,multi_hop,16000,scattered,medium,unknown,retrieve_then_read,exact_match,0.0,0.6666666666666666,1.0,3,True,,1.5,1.0
hotpotqa,llama3.1:8b,multi_hop,4000,front,low,unknown,direct,exact_match,0.42857142857142855,0.8571428571428571,0.7142857142857143,7,True,,0.6666666666666669,0.6666666666666669
