source,model_name,method,reasoning_type,context_length,evidence_position,evidence_density,distractor_similarity,n,exact_match_strict,answer_f1_strict,exact_match_relaxed,answer_f1_relaxed,exact_match,answer_f1,evidence_precision,evidence_recall,evidence_f1,citation_grounding
controlled,gemma3:12b,direct,arithmetic,16000,end,medium,conflicting,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
controlled,gemma3:12b,direct,arithmetic,16000,front,medium,conflicting,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
controlled,gemma3:12b,direct,arithmetic,16000,front,medium,high,3,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.16666666666666666,0.2222222222222222,0.3333333333333333
controlled,gemma3:12b,direct,arithmetic,16000,front,medium,low,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
controlled,gemma3:12b,direct,arithmetic,16000,front,medium,none,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
controlled,gemma3:12b,direct,arithmetic,16000,middle,medium,conflicting,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
controlled,gemma3:12b,direct,arithmetic,16000,middle,medium,high,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.6666666666666666,1.0
controlled,gemma3:12b,direct,arithmetic,16000,middle,medium,low,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
controlled,gemma3:12b,direct,arithmetic,16000,middle,medium,none,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
controlled,gemma3:12b,direct,arithmetic,16000,scattered,medium,conflicting,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
controlled,gemma3:12b,direct,arithmetic,16000,scattered,medium,high,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
controlled,gemma3:12b,direct,arithmetic,16000,scattered,medium,low,3,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.16666666666666666,0.2222222222222222,0.3333333333333333
controlled,gemma3:12b,direct,arithmetic,16000,scattered,medium,none,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
controlled,gemma3:12b,direct,arithmetic,4000,end,medium,conflicting,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
controlled,gemma3:12b,direct,arithmetic,4000,end,medium,high,2,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5
controlled,gemma3:12b,direct,arithmetic,4000,end,medium,low,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
controlled,gemma3:12b,direct,arithmetic,4000,end,medium,none,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
controlled,gemma3:12b,direct,arithmetic,4000,front,medium,high,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
controlled,gemma3:12b,direct,arithmetic,4000,middle,medium,conflicting,2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
controlled,gemma3:12b,direct,arithmetic,4000,middle,medium,low,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
controlled,gemma3:12b,direct,arithmetic,4000,middle,medium,none,2,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5
controlled,gemma3:12b,direct,arithmetic,4000,scattered,medium,high,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
controlled,gemma3:12b,direct,arithmetic,4000,scattered,medium,low,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
controlled,gemma3:12b,direct,arithmetic,4000,scattered,medium,none,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
controlled,gemma3:12b,direct,arithmetic,8000,end,medium,conflicting,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
controlled,gemma3:12b,direct,arithmetic,8000,end,medium,low,2,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5
controlled,gemma3:12b,direct,arithmetic,8000,front,medium,high,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.6666666666666666,1.0
controlled,gemma3:12b,direct,arithmetic,8000,middle,medium,conflicting,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.6666666666666666,1.0
controlled,gemma3:12b,direct,arithmetic,8000,middle,medium,high,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.6666666666666666,1.0
controlled,gemma3:12b,direct,arithmetic,8000,middle,medium,low,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.6666666666666666,1.0
controlled,gemma3:12b,direct,arithmetic,8000,scattered,medium,high,2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.6666666666666666,1.0
controlled,gemma3:12b,direct,arithmetic,8000,scattered,medium,low,2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.6666666666666666,1.0
controlled,gemma3:12b,direct,comparison,16000,end,medium,conflicting,1,0.0,0.8,1.0,1.0,0.0,0.8,1.0,0.5,0.6666666666666666,1.0
controlled,gemma3:12b,direct,comparison,16000,end,medium,high,1,0.0,0.8,1.0,1.0,0.0,0.8,1.0,0.5,0.6666666666666666,1.0
controlled,gemma3:12b,direct,comparison,16000,end,medium,none,1,0.0,0.8,1.0,1.0,0.0,0.8,1.0,0.5,0.6666666666666666,1.0
controlled,gemma3:12b,direct,comparison,16000,front,medium,conflicting,1,0.0,0.4,0.0,0.5,0.0,0.4,1.0,0.5,0.6666666666666666,1.0
controlled,gemma3:12b,direct,comparison,16000,front,medium,high,1,0.0,0.4,0.0,0.5,0.0,0.4,1.0,0.5,0.6666666666666666,1.0
controlled,gemma3:12b,direct,comparison,16000,front,medium,low,1,0.0,0.4,0.0,0.5,0.0,0.4,1.0,0.5,0.6666666666666666,1.0
controlled,gemma3:12b,direct,comparison,16000,front,medium,none,2,0.0,0.4,0.0,0.5,0.0,0.4,1.0,0.5,0.6666666666666666,1.0
controlled,gemma3:12b,direct,comparison,16000,middle,medium,conflicting,3,0.0,0.4,0.0,0.5,0.0,0.4,1.0,0.5,0.6666666666666666,1.0
controlled,gemma3:12b,direct,comparison,16000,middle,medium,high,1,0.0,0.4,0.0,0.5,0.0,0.4,1.0,0.5,0.6666666666666666,1.0
controlled,gemma3:12b,direct,comparison,16000,middle,medium,low,1,0.0,0.4,0.0,0.5,0.0,0.4,1.0,0.5,0.6666666666666666,1.0
controlled,gemma3:12b,direct,comparison,16000,middle,medium,none,1,0.0,0.4,0.0,0.5,0.0,0.4,1.0,0.5,0.6666666666666666,1.0
controlled,gemma3:12b,direct,comparison,16000,scattered,medium,conflicting,3,0.0,0.4,0.0,0.5,0.0,0.4,1.0,0.5,0.6666666666666666,1.0
controlled,gemma3:12b,direct,comparison,16000,scattered,medium,high,2,0.0,0.4,0.0,0.5,0.0,0.4,1.0,0.5,0.6666666666666666,1.0
controlled,gemma3:12b,direct,comparison,16000,scattered,medium,low,2,0.0,0.4,0.0,0.5,0.0,0.4,1.0,0.5,0.6666666666666666,1.0
controlled,gemma3:12b,direct,comparison,16000,scattered,medium,none,2,0.0,0.4,0.0,0.5,0.0,0.4,1.0,0.5,0.6666666666666666,1.0
controlled,gemma3:12b,direct,comparison,4000,end,medium,conflicting,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.6666666666666666,1.0
controlled,gemma3:12b,direct,comparison,4000,end,medium,high,1,0.0,0.8,1.0,1.0,0.0,0.8,1.0,0.5,0.6666666666666666,1.0
controlled,gemma3:12b,direct,comparison,4000,front,medium,conflicting,2,0.0,0.8,1.0,1.0,0.0,0.8,1.0,0.5,0.6666666666666666,1.0
controlled,gemma3:12b,direct,comparison,4000,front,medium,low,2,0.0,0.8,1.0,1.0,0.0,0.8,1.0,0.5,0.6666666666666666,1.0
controlled,gemma3:12b,direct,comparison,4000,front,medium,none,1,0.0,0.8,1.0,1.0,0.0,0.8,1.0,0.5,0.6666666666666666,1.0
controlled,gemma3:12b,direct,comparison,4000,middle,medium,low,2,0.0,0.8,1.0,1.0,0.0,0.8,1.0,0.5,0.6666666666666666,1.0
controlled,gemma3:12b,direct,comparison,4000,middle,medium,none,2,0.0,0.8,1.0,1.0,0.0,0.8,1.0,0.5,0.6666666666666666,1.0
controlled,gemma3:12b,direct,comparison,4000,scattered,medium,low,4,0.0,0.8,1.0,1.0,0.0,0.8,1.0,0.5,0.6666666666666666,1.0
controlled,gemma3:12b,direct,comparison,4000,scattered,medium,none,2,0.0,0.8,1.0,1.0,0.0,0.8,1.0,0.5,0.6666666666666666,1.0
controlled,gemma3:12b,direct,comparison,8000,end,medium,conflicting,1,0.0,0.8,1.0,1.0,0.0,0.8,1.0,0.5,0.6666666666666666,1.0
controlled,gemma3:12b,direct,comparison,8000,end,medium,low,2,0.0,0.8,1.0,1.0,0.0,0.8,1.0,0.5,0.6666666666666666,1.0
controlled,gemma3:12b,direct,comparison,8000,front,medium,conflicting,2,0.0,0.4,0.0,0.3333333333333333,0.0,0.4,0.5,0.25,0.3333333333333333,0.5
